URI,DNS Record,DNS Value
admin.revv.co.in,A,15.252.93.216
admin.revv.co.in,A,35.154.7.86
adminstage12.gaadi.com,to,127.0.0.53#53: timed out
affiliate.bikedekho.com,A,34.198.147.111
affiliate.bikedekho.com,A,52.20.195.125
affiliate.bikedekho.com,A,52.205.36.237
affiliate.bikedekho.com,CNAME,cardekho.go2cloud.org.
ai-staging.cardekho.com,A,3.170.185.110
ai-staging.cardekho.com,A,3.170.185.112
ai-staging.cardekho.com,A,3.170.185.35
ai-staging.cardekho.com,A,3.170.185.45
ai-staging.cardekho.com,AAAA,2600:9000:288b:5800:17:2b17:9280:93a1
ai-staging.cardekho.com,AAAA,2600:9000:288b:600:17:2b17:9280:93a1
ai-staging.cardekho.com,AAAA,2600:9000:288b:6200:17:2b17:9280:93a1
ai-staging.cardekho.com,AAAA,2600:9000:288b:6400:17:2b17:9280:93a1
ai-staging.cardekho.com,AAAA,2600:9000:288b:8a00:17:2b17:9280:93a1
ai-staging.cardekho.com,AAAA,2600:9000:288b:c400:17:2b17:9280:93a1
ai-staging.cardekho.com,AAAA,2600:9000:288b:d000:17:2b17:9280:93a1
ai-staging.cardekho.com,AAAA,2600:9000:288b:ec00:17:2b17:9280:93a1
ai-staging.cardekho.com,CNAME,d3k9y31o89jfii.cloudfront.net.
ai-staging.cardekho.com,NS,ns-1273.awsdns-31.org.
ai-staging.cardekho.com,NS,ns-1743.awsdns-25.co.uk.
ai-staging.cardekho.com,NS,ns-354.awsdns-44.com.
ai-staging.cardekho.com,NS,ns-671.awsdns-19.net.
ai-staging.cardekho.com,SOA,ns-1273.awsdns-31.org. awsdns-hostmaster.amazon.com. 1 7200 900 1209600 86400
ai.cardekho.com,A,52.85.12.100
ai.cardekho.com,A,52.85.12.20
ai.cardekho.com,A,52.85.12.42
ai.cardekho.com,A,52.85.12.8
ai.cardekho.com,AAAA,2600:9000:2007:200:9:cc57:3380:93a1
ai.cardekho.com,AAAA,2600:9000:2007:3800:9:cc57:3380:93a1
ai.cardekho.com,AAAA,2600:9000:2007:4000:9:cc57:3380:93a1
ai.cardekho.com,AAAA,2600:9000:2007:4200:9:cc57:3380:93a1
ai.cardekho.com,AAAA,2600:9000:2007:6e00:9:cc57:3380:93a1
ai.cardekho.com,AAAA,2600:9000:2007:8000:9:cc57:3380:93a1
ai.cardekho.com,AAAA,2600:9000:2007:9600:9:cc57:3380:93a1
ai.cardekho.com,AAAA,2600:9000:2007:e600:9:cc57:3380:93a1
ai.cardekho.com,CNAME,dowk4b3vsgslq.cloudfront.net.
ai.cardekho.com,NS,ns-1286.awsdns-32.org.
ai.cardekho.com,NS,ns-2004.awsdns-58.co.uk.
ai.cardekho.com,NS,ns-490.awsdns-61.com.
ai.cardekho.com,NS,ns-781.awsdns-33.net.
ai.cardekho.com,SOA,ns-781.awsdns-33.net. awsdns-hostmaster.amazon.com. 1 7200 900 1209600 86400
alpha.bikedekho.com,A,13.227.87.17
alpha.bikedekho.com,A,13.227.87.76
alpha.bikedekho.com,A,13.227.87.85
alpha.bikedekho.com,A,13.227.87.96
alpha.bikedekho.com,AAAA,2600:9000:207c:2000:b:d19:c0:93a1
alpha.bikedekho.com,AAAA,2600:9000:207c:4000:b:d19:c0:93a1
alpha.bikedekho.com,AAAA,2600:9000:207c:5e00:b:d19:c0:93a1
