URI,IP,Ports
acquisory.com,170.178.144.136,"80,443"
contact-management.acquisory.com,170.178.144.136,"80,443"
webmail.acquisory.com,52.96.113.162,"25,80,110,143,443,587,993,995"
webmail.acquisory.com,52.96.113.178,"25,80,110,143,443,587,993,995"
webmail.acquisory.com,52.96.121.2,"25,80,110,143,443,587,993,995"
webmail.acquisory.com,52.96.121.50,"25,80,110,143,443,587,993,995"
webmail.acquisory.com,52.96.164.210,"25,80,110,143,443,587,993,995"
webmail.acquisory.com,52.96.165.18,"25,80,110,143,443,587,993,995"
webmail.acquisory.com,52.96.165.2,"25,80,110,143,443,993,995"
webmail.acquisory.com,52.96.166.50,"25,80,110,143,443,587,993,995"
