URI,IP,port,service,version
acquisory.com,170.178.144.136,443,https?,""
contact-management.acquisory.com,170.178.144.136,443,https?,""
webmail.acquisory.com,40.104.231.130,110,pop3?,""
webmail.acquisory.com,40.104.231.130,143,imap,""
webmail.acquisory.com,40.104.231.130,25,smtp,"Microsoft Exchange smtpd"
webmail.acquisory.com,40.104.231.130,587,smtp,"Microsoft Exchange smtpd"
webmail.acquisory.com,40.104.231.130,80,http,"Microsoft HTTPAPI httpd 2.0 (SSDP|UPnP)"
webmail.acquisory.com,40.104.231.130,993,ssl|imap,""
webmail.acquisory.com,40.104.231.130,995,ssl|pop3s?,""
webmail.acquisory.com,40.104.231.18,110,pop3,""
webmail.acquisory.com,40.104.231.18,143,imap,""
webmail.acquisory.com,40.104.231.18,25,smtp,"Microsoft Exchange smtpd"
webmail.acquisory.com,40.104.231.18,443,ssl|https,""
webmail.acquisory.com,40.104.231.18,80,http,"Microsoft HTTPAPI httpd 2.0 (SSDP|UPnP)"
webmail.acquisory.com,40.104.231.18,993,ssl|imap,""
webmail.acquisory.com,40.104.231.18,995,ssl|pop3,""
webmail.acquisory.com,52.96.119.130,110,pop3,""
webmail.acquisory.com,52.96.119.130,143,imap,""
webmail.acquisory.com,52.96.119.130,25,smtp,"Microsoft Exchange smtpd"
webmail.acquisory.com,52.96.119.130,443,ssl|https,""
webmail.acquisory.com,52.96.119.130,80,http,"Microsoft HTTPAPI httpd 2.0 (SSDP|UPnP)"
webmail.acquisory.com,52.96.119.130,993,ssl|imap,""
webmail.acquisory.com,52.96.119.130,995,ssl|pop3,""
webmail.acquisory.com,52.96.119.242,110,pop3,""
webmail.acquisory.com,52.96.119.242,143,imap,""
webmail.acquisory.com,52.96.119.242,25,smtp,"Microsoft Exchange smtpd"
webmail.acquisory.com,52.96.119.242,587,smtp,"Microsoft Exchange smtpd"
webmail.acquisory.com,52.96.119.242,80,http,"Microsoft HTTPAPI httpd 2.0 (SSDP|UPnP)"
webmail.acquisory.com,52.96.119.242,995,ssl|pop3,""
webmail.acquisory.com,52.96.181.66,110,pop3,""
webmail.acquisory.com,52.96.181.66,143,imap,""
webmail.acquisory.com,52.96.181.66,25,smtp,"Microsoft Exchange smtpd"
webmail.acquisory.com,52.96.181.66,443,ssl|https,""
webmail.acquisory.com,52.96.181.66,587,smtp,"Microsoft Exchange smtpd"
webmail.acquisory.com,52.96.181.66,80,http,"Microsoft HTTPAPI httpd 2.0 (SSDP|UPnP)"
webmail.acquisory.com,52.96.181.66,993,ssl|imap,""
webmail.acquisory.com,52.96.181.66,995,ssl|pop3,""
webmail.acquisory.com,52.96.181.82,110,pop3,""
webmail.acquisory.com,52.96.181.82,143,imap,""
webmail.acquisory.com,52.96.181.82,25,smtp,"Microsoft Exchange smtpd"
webmail.acquisory.com,52.96.181.82,443,ssl|https,""
webmail.acquisory.com,52.96.181.82,587,smtp,"Microsoft Exchange smtpd"
webmail.acquisory.com,52.96.181.82,80,http,"Microsoft HTTPAPI httpd 2.0 (SSDP|UPnP)"
webmail.acquisory.com,52.96.181.82,993,ssl|imap,""
webmail.acquisory.com,52.96.182.162,110,pop3,""
webmail.acquisory.com,52.96.182.162,143,imap,""
webmail.acquisory.com,52.96.182.162,443,ssl|https,""
webmail.acquisory.com,52.96.182.162,587,smtp,"Microsoft Exchange smtpd"
webmail.acquisory.com,52.96.182.162,80,http,"Microsoft HTTPAPI httpd 2.0 (SSDP|UPnP)"
webmail.acquisory.com,52.96.182.162,995,ssl|pop3,""
webmail.acquisory.com,52.96.69.98,110,pop3,""
webmail.acquisory.com,52.96.69.98,143,imap,""
webmail.acquisory.com,52.96.69.98,25,smtp,"Microsoft Exchange smtpd"
webmail.acquisory.com,52.96.69.98,443,ssl|https,""
webmail.acquisory.com,52.96.69.98,587,smtp,"Microsoft Exchange smtpd"
webmail.acquisory.com,52.96.69.98,80,http,"Microsoft HTTPAPI httpd 2.0 (SSDP|UPnP)"
webmail.acquisory.com,52.96.69.98,993,ssl|imap,""
webmail.acquisory.com,52.96.69.98,995,ssl|pop3,""
