URI,DNS Record,DNS Value
admin.revv.co.in,A,15.252.93.216
admin.revv.co.in,A,35.154.7.86
affiliate.bikedekho.com,A,34.198.147.111
affiliate.bikedekho.com,A,52.20.195.125
affiliate.bikedekho.com,A,52.205.36.237
affiliate.bikedekho.com,CNAME,cardekho.go2cloud.org.
ai-staging.cardekho.com,A,13.35.78.22
ai-staging.cardekho.com,A,13.35.78.71
ai-staging.cardekho.com,A,13.35.78.8
ai-staging.cardekho.com,A,13.35.78.88
ai-staging.cardekho.com,AAAA,2600:9000:20ea:1400:17:2b17:9280:93a1
ai-staging.cardekho.com,AAAA,2600:9000:20ea:2000:17:2b17:9280:93a1
ai-staging.cardekho.com,AAAA,2600:9000:20ea:6c00:17:2b17:9280:93a1
ai-staging.cardekho.com,AAAA,2600:9000:20ea:7400:17:2b17:9280:93a1
ai-staging.cardekho.com,AAAA,2600:9000:20ea:b000:17:2b17:9280:93a1
ai-staging.cardekho.com,AAAA,2600:9000:20ea:b200:17:2b17:9280:93a1
ai-staging.cardekho.com,AAAA,2600:9000:20ea:de00:17:2b17:9280:93a1
ai-staging.cardekho.com,AAAA,2600:9000:20ea:f200:17:2b17:9280:93a1
ai-staging.cardekho.com,CNAME,d3k9y31o89jfii.cloudfront.net.
ai-staging.cardekho.com,NS,ns-1273.awsdns-31.org.
ai-staging.cardekho.com,NS,ns-1743.awsdns-25.co.uk.
ai-staging.cardekho.com,NS,ns-354.awsdns-44.com.
ai-staging.cardekho.com,NS,ns-671.awsdns-19.net.
ai-staging.cardekho.com,SOA,ns-1273.awsdns-31.org. awsdns-hostmaster.amazon.com. 1 7200 900 1209600 86400
ai.cardekho.com,A,3.170.42.14
ai.cardekho.com,A,3.170.42.35
ai.cardekho.com,A,3.170.42.70
ai.cardekho.com,A,3.170.42.96
ai.cardekho.com,AAAA,2600:9000:2870:0:9:cc57:3380:93a1
ai.cardekho.com,AAAA,2600:9000:2870:3000:9:cc57:3380:93a1
ai.cardekho.com,AAAA,2600:9000:2870:6a00:9:cc57:3380:93a1
ai.cardekho.com,AAAA,2600:9000:2870:8000:9:cc57:3380:93a1
ai.cardekho.com,AAAA,2600:9000:2870:9800:9:cc57:3380:93a1
ai.cardekho.com,AAAA,2600:9000:2870:aa00:9:cc57:3380:93a1
ai.cardekho.com,AAAA,2600:9000:2870:b200:9:cc57:3380:93a1
ai.cardekho.com,AAAA,2600:9000:2870:fe00:9:cc57:3380:93a1
ai.cardekho.com,CNAME,dowk4b3vsgslq.cloudfront.net.
ai.cardekho.com,NS,ns-1286.awsdns-32.org.
ai.cardekho.com,NS,ns-2004.awsdns-58.co.uk.
ai.cardekho.com,NS,ns-490.awsdns-61.com.
ai.cardekho.com,NS,ns-781.awsdns-33.net.
ai.cardekho.com,SOA,ns-781.awsdns-33.net. awsdns-hostmaster.amazon.com. 1 7200 900 1209600 86400
alpha.bikedekho.com,A,52.85.193.38
alpha.bikedekho.com,A,52.85.193.53
alpha.bikedekho.com,A,52.85.193.57
alpha.bikedekho.com,A,52.85.193.64
alpha.bikedekho.com,AAAA,2600:9000:215a:1200:b:d19:c0:93a1
alpha.bikedekho.com,AAAA,2600:9000:215a:1a00:b:d19:c0:93a1
alpha.bikedekho.com,AAAA,2600:9000:215a:9000:b:d19:c0:93a1
